date,url,title,summary,publishing date,id,new_id
1/30/2026,https://knnindia.co.in/news/newsdetails/economy/india-links-climate-action-with-development-and-energy-security-economic-survey-202526,India Integrates Climate Action With Development and Energy Security Strategy,"India's Economic Survey 2025–26 outlines a development-centered climate strategy that combines adaptation, mitigation, and behavioral change within its growth framework. The government emphasizes that development itself serves as climate adaptation for vulnerable economies, with adaptation spending rising from 3.7 percent of GDP in FY16 to 5.6 percent in FY22. Key initiatives include the National Action Plan on Climate Change with nine missions, State Action Plans translating priorities locally, and urban planning incorporating climate risk considerations.
 
 The strategy addresses energy transition through expanding non-fossil fuel capacity, which reached 51.93 percent of installed power as of December 2025. India pursues mitigation through renewable energy, green hydrogen, nuclear power, and energy efficiency while acknowledging challenges in material availability and storage. The government is securing critical minerals through the National Critical Mineral Mission and international partnerships, enacted the SHANTI Act to enable private nuclear sector participation, and implemented the Carbon Credit Trading Scheme combining compliance and voluntary offset mechanisms. Mission LiFE promotes behavioral change as a foundation for climate policy implementation.",1/29/2026 17:00,6c,
28/1/2026,https://www.chinimandi.com/low-carbon-fertilizer-pilot-launched-to-cut-ethanol-production-carbon-intensity/,CF Industries and POET Launch Low-Carbon Fertilizer and Ethanol Supply Chain Pilot,"CF Industries and POET announced a collaborative pilot project with agricultural cooperatives to develop a low-carbon fertilizer supply chain that reduces the carbon intensity of corn production and ethanol manufacturing. The initiative involves tracking low-carbon ammonia fertilizer from CF Industries' Donaldsonville Complex through distribution networks operated by WinField United and agricultural cooperatives across Iowa, Minnesota, Missouri, and Nebraska, with corn subsequently processed at POET ethanol facilities. The first distribution and application of low-carbon ammonia was completed in fall 2025, with projections indicating the corn produced could generate 5-6 million gallons of ethanol with reduced carbon intensity.

CF Industries captures and permanently stores CO₂ emissions during ammonia production at its facility, which operates at capacity to produce 1.9 million tons of low-carbon ammonia annually. The pilot demonstrates a vertically integrated approach connecting low-carbon fertilizer manufacturing to retail distribution, farmer application, and bioethanol production, creating a traceable value chain for certified low-carbon inputs. Participants emphasized the initiative's dual focus on environmental stewardship and economic benefits for rural agricultural communities and farmers in the Midwest.",1/27/26 13:31,31a,7
29/1/2026,https://www.chemanalyst.com/NewsAndDeals/NewsDetails/cf-industries-and-poet-launch-low-carbon-fertilizer-pilot-to-reduce-40921,CF Industries and POET Partner to Pilot Low-Carbon Fertilizer Supply Chain,"CF Industries, POET, and major agricultural cooperatives including WinField United, NuWay-K&H, New Cooperative, and Farmer's Cooperative have launched a collaborative pilot program to develop and implement a low-carbon fertilizer supply chain across the Midwest. The initiative focuses on producing low-carbon ammonia fertilizers at CF Industries' Donaldsonville Complex—where carbon emissions are captured and permanently stored—and distributing them through cooperative retail channels to corn growers in Iowa, Minnesota, Missouri, and Nebraska. The corn cultivated with these lower-carbon fertilizers will then be processed by POET's ethanol plants to produce approximately 5 to 6 million gallons of ethanol with reduced carbon intensity.

The pilot represents an integrated approach to decarbonization across the agricultural value chain, connecting fertilizer manufacturing, distribution, farm application, and renewable fuel production. Participants aim to demonstrate that meaningful emissions reductions can be achieved at scale without disrupting agricultural productivity or rural economies. The consortium completed its first distribution and field application cycle during the fall 2025 growing season, with CF Industries' low-carbon ammonia facility capable of producing up to 1.9 million tons annually at full capacity.",1/28/26 13:07,12b,7
28/1/2026,https://impakter.com/esg-news-totalenergies-to-slash-investments-on-weaker-eu-saf-mandate/,TotalEnergies Reduces Clean Fuel Investments Amid EU SAF Mandate Concerns,"TotalEnergies CEO Patrick Pouyanné announced at the World Economic Forum that the company will scale back investments in sustainable aviation fuel and other clean fuels, citing expectations that the European Union will weaken its ReFuelEU mandates. Pouyanné criticized the proposed SAF target trajectory from 2% in 2025 to 6% in 2030 as economically unrealistic, arguing that solar and wind offer superior decarbonization economics at approximately $200 per ton of CO₂ compared to $350–400 for biofuels. He warned that without robust regulatory frameworks, the market for expensive biofuels cannot be sustained and cautioned against stranding biorefinery assets through diluted targets.

The announcement reflects broader tensions within the clean energy transition regarding policy credibility and investment economics. Airlines have pushed back against TotalEnergies, arguing the company is underinvesting in SAF capacity despite stating it could supply 10% SAF by 2030. This dispute underscores disagreements over the cost-effectiveness of mandated fuel transitions, with industry leaders weighing competing decarbonization strategies and the regulatory certainty needed to justify capital allocation to emerging clean fuel infrastructure.",1/26/26 9:56,34a,
1/30/2026,https://www.channelstv.com/2026/01/29/eus-2035-targets-for-sustainable-aviation-fuel-not-achievable-iata/,IATA Chief Says EU Sustainable Aviation Fuel Targets Not Achievable,"The International Air Transport Association's chief Willie Walsh stated Thursday that European Union targets requiring airlines to use 20 percent sustainable aviation fuel by 2035 are unachievable. Walsh cited insufficient SAF production and high costs as obstacles, noting that current usage stands at approximately two percent. The EU's regulatory framework mandates a gradual increase from two percent in 2025 to six percent by 2030 and ultimately 70 percent from 2050, while a European Commission spokesman maintained in March 2025 that these targets remain realistic and feasible.
 
 The airline industry faces production constraints and economic challenges in meeting decarbonization goals. Global SAF production is projected to reach only 2.4 million tonnes in 2025, representing 0.8 percent of total jet fuel consumption despite nearly doubling from 2024 levels. Despite his skepticism regarding SAF feasibility, Walsh reaffirmed that airlines remain committed to cutting emissions by half from 2005 levels by 2050.",1/29/2026 16:34,25c,
29/1/2026,https://www.newswire.ca/news-releases/biomass-to-jet-saf-projects-position-renewable-hydrocarbons-as-the-future-of-aviation-fuel-805508139.html,"DevvStream, Southern Energy, Frontline BioEnergy Expand Biomass-to-Jet Fuel Development","DevvStream Corp. announced a binding term sheet with Southern Energy Renewables and Frontline BioEnergy to advance biomass-to-jet fuel production and environmental-asset monetization. The collaboration involves expanding Frontline's demonstration facilities in Iowa with new pilot-scale units for bio-methanol and methanol-to-hydrocarbons production, with Southern Energy expected to invest up to $2.05 million to fund design, construction, and commissioning of these demonstration units.

The partnership aims to accelerate technical validation and commercialization of Southern's planned biomass-to-fuels platform in Louisiana. Biomass-to-jet fuel projects are gaining investor attention as airlines seek cleaner fuel options compatible with existing aircraft, supported by long-term supply agreements, government incentives, and emissions reduction mandates. Environmental credit generation from these facilities creates additional revenue streams, combining fuel sales with monetization of emissions reductions and renewable energy benefits.",1/28/26 14:07,1b,
29/1/2026,https://www.theglobeandmail.com/investing/markets/stocks/BEP/pressreleases/37273977/biomass-to-jet-saf-projects-position-renewable-hydrocarbons-as-the-future-of-aviation-fuel/,Biomass-Based Sustainable Aviation Fuel Emerging as Viable Aviation Emissions Solution,"Sustainable aviation fuel derived from biomass is gaining recognition as a practical approach to reducing aviation sector emissions, with airlines increasingly seeking cleaner fuel options compatible with existing aircraft. Long-term supply agreements between airlines and fuel producers, combined with government incentives and regulatory mandates for carbon reduction, are transforming these projects from experimental initiatives into established revenue-generating businesses with predictable cash flows.

The growth of this sector is attracting investor interest, with several companies positioned to capitalize on expanding demand. These developments reflect broader market recognition that biomass-to-jet fuel production offers a scalable pathway to decarbonizing aviation while meeting near-term sustainability requirements without requiring fleet-wide aircraft modifications.",1/28/26 14:22,24b,
28/1/2026,https://www.osborneclarke.com/insights/energy-transition-government-publishes-updated-uk-low-carbon-hydrogen-standard,UK Government Updates Low Carbon Hydrogen Standard and Approves First CCS Lease,"The Department for Energy Security and Net Zero published version four of the UK Low Carbon Hydrogen Standard, establishing revised methodology for calculating lifecycle greenhouse gas emissions from hydrogen production and updated compliance requirements for producers seeking government subsidies. The updates introduce 30-minute reporting intervals, expanded biomethane eligibility, simplified classification processes, new emissions calculators, and improved guidance across multiple technical areas to enhance clarity and streamline compliance procedures. The Crown Estate and Northern Endurance Partnership simultaneously signed the UK's first commercial-scale carbon capture and storage lease, securing rights to develop a saline aquifer carbon store approximately 140 kilometers offshore as part of the East Coast Cluster decarbonization infrastructure project, with operations expected to continue through the mid-2050s.",1/27/26 12:58,2a,
28/1/2026,https://shipandbunker.com/news/world/266211-imo-sg-to-green-fuel-producers-dont-give-up-on-us,IMO Secretary General Urges Green Fuel Producers to Maintain Shipping Industry Focus,"The International Maritime Organization's Secretary General Arsenio Dominguez appealed to producers of green fuels to continue pursuing the shipping sector as a market opportunity, despite the organization's October delay in voting on its Net Zero Framework. The postponement of the framework vote, which resulted from significant opposition at the UN body's Marine Environment Protection Committee, has raised concerns among some green fuel producers who are reconsidering their investment commitments and exploring alternative markets such as sustainable aviation fuel.

Dominguez acknowledged the obstacles facing the shipping industry's decarbonization pathway but emphasized the need for stakeholders to remain committed and address challenges through innovation and creativity. He declined to announce a new timeline for the Net Zero Framework vote, stating that his immediate priority is meeting with various country delegations before the MEPC's April meeting to assess their positions on the framework's implementation.",1/27/26 15:23,4a,
28/1/2026,https://kalingatv.com/odisha/acme-group-to-invest-%E2%82%B912422-crore-in-green-methanol-plant-in-odisha/,"ACME Group Invests ₹12,422 Crore in Odisha Green Methanol Plant","ACME Group has signed an agreement with the Industrial Promotion and Investment Corporation of Odisha Limited to develop a green methanol production facility in Odisha, with an investment of ₹12,422 crore. The plant will produce approximately 200,000 tonnes of green methanol annually starting between 2029 and 2030, utilizing green hydrogen from renewable energy sources and captured carbon dioxide. The company is already engaged in discussions with global shipping companies for long-term supply contracts.

Green methanol is emerging as a critical low-carbon fuel alternative for international shipping, driven by stricter International Maritime Organization emission standards targeting net-zero emissions by 2050. This investment positions Odisha as a significant player in India's clean fuels sector and supports the country's National Green Hydrogen Mission. ACME Group's existing green hydrogen and ammonia projects in the state near Paradip and Gopalpur further strengthen the region's clean energy manufacturing capabilities.",1/26/26 19:08,7a,
28/1/2026,https://www.einpresswire.com/article/884940028/maharashtra-unveils-landmark-bamboo-to-biomethanol-plan-anchoring-farmers-global-markets-and-a-trillion-dollar-economy,Maharashtra Launches Three Billion Dollar Bamboo Biomethanol Production Initiative,"The Government of Maharashtra signed a Memorandum of Understanding with Novel Biofuels and ACTUAL to develop a large-scale bamboo-to-biomethanol facility in eastern Maharashtra. The $3 billion project will establish a 1 million tonne per annum production capacity, converting approximately 3 million tonnes of sustainably managed bamboo annually into biomethanol for global shipping and aviation markets. The initiative integrates rural farmers and forestry communities into structured supply systems through long-term contracts and price-stability mechanisms.

The project positions Maharashtra and India as competitive suppliers of low-carbon fuels while anchoring agricultural communities directly into industrial value chains. By treating bamboo feedstock as strategic infrastructure and embedding farmers into energy production systems, the platform aims to support the state's broader trillion-dollar economic ambition while creating predictable income streams for rural populations and securing resilient fuel supplies for global markets.",1/27/26 21:02,8a,
28/1/2026,https://www.bioenergy-news.com/news/cycle0-accelerates-italian-biomethane-growth-with-corte-pila-plant-acquisition/,Cycle0 Acquires Corte Pila Plant to Accelerate Italian Biomethane Production,"Cycle0 has completed the acquisition of the Corte Pila biomethane facility in Italy, an operational plant that will transition from electricity generation to biomethane production by mid-2026. The plant will produce approximately 44 GWh annually of biomethane, which will be injected into a newly constructed gas grid injection point as part of Cycle0's €100 million investment program in the country.

The acquisition represents Cycle0's expansion across Europe, bringing its portfolio to nine plants planned or operational. Combined with a second facility under construction in Pontinia, the two Italian plants will collectively produce enough biomethane to supply approximately 6,000 households. The acquisition follows Cycle0's successful participation in a renewable gas auction and strengthens the company's position as a leading European biomethane operator while supporting local agricultural waste management and Italy's renewable energy transition.",1/27/26 20:09,10a,
28/1/2026,https://serrarigroup.com/malaysia-advances-comprehensive-climate-legislation-as-carbon-market-framework-takes-shape/,Malaysia Introduces First Comprehensive National Climate Change Bill To Parliament,"Malaysia's Deputy Minister of Natural Resources and Environmental Sustainability announced that the country's first comprehensive National Climate Change Bill will be presented to Parliament during the current legislative session, with its first reading expected imminently. The legislation has been in development for years and arrives alongside the finalization of Malaysia's National Carbon Market Policy, together creating a legal framework to regulate greenhouse gas emissions and establish carbon trading mechanisms aligned with the Paris Agreement.

The dual-track approach grants the government explicit authority to regulate carbon trading activities, including Internationally Transferred Mitigation Outcomes (ITMOs), which enable countries to cooperate on emissions reductions through bilateral and multilateral agreements. Malaysia has committed to reducing economy-wide carbon intensity by 45% by 2030 compared to 2005 levels, with the legislation supporting this target through enhanced measurement, reporting, and transparency mechanisms while implementing Article 6 provisions of the Paris Agreement.",1/27/26 7:30,11a,
28/1/2026,https://biodieselmagazine.com/articles/iowa-biodiesel-production-plummets-31-in-2025-to-244-million-gallons-lowest-level-in-a-decade,Trump Administration Advances Sustainable Fuels Policy With New Investments And Standards,"President Trump signed an appropriations bill on January 23 containing provisions on biomass energy and sustainability, with Congressional guidance addressing sustainable aviation fuel and related energy standards. Clean Fuels Alliance America subsequently wrote to the president emphasizing the biodiesel, renewable diesel, and SAF sectors' importance to U.S. energy security and rural economies. A major investment commitment of up to $30 million was announced for a sustainable aviation fuel project beginning construction in 2026, while New Mexico became the fourth state to adopt a clean transportation fuel standard following its Environmental Improvement Board's unanimous approval on January 22. Additionally, shipping industry research from Denmark demonstrated climate benefits of biofuel use and was submitted to the International Maritime Organization.",1/26/26 22:20,12a,
28/1/2026,https://www.qcintel.com/biofuels/article/brazil-s-bndes-backs-climate-funds-with-green-hydrogen-biofuels-in-focus-57450.html,Brazil's BNDES Backs Climate Funds Focused On Green Hydrogen And Biofuels,"Brazil's National Development Bank (BNDES) has selected seven investment funds through its Climate Mitigation Call initiative, with a strategic focus on green hydrogen and biofuels development. The selection represents the bank's commitment to directing capital toward decarbonization technologies and sustainable fuel production pathways.

This initiative demonstrates BNDES's role in mobilizing private investment toward climate solutions, positioning Brazil as a key player in developing low-carbon hydrogen and advanced biofuel sectors. The fund selections align with broader efforts to transition energy systems away from fossil fuels while leveraging Brazil's existing expertise in renewable fuel production.",1/27/26 14:52,13a,
28/1/2026,https://markets.ft.com/data/announce/detail?dockey=600-202601260830BIZWIRE_USPRX____20260126_BW936948-1,XCF Global DevvStream Southern Energy Announce Three-Party Merger Agreement,"XCF Global, DevvStream Corp, and Southern Energy Renewables have agreed to a binding term sheet to combine into a single integrated platform focused on sustainable aviation fuel production and carbon credit monetization. The proposed merger aims to accelerate SAF development through HEFA and e-methanol pathways while expanding domestic production capacity and integrating environmental attribute strategies across North America and emerging markets. XCF has secured investor funding to complete upgrades at its New Rise Reno refinery, including mechanical, electrical, and process improvements needed to bring the facility into sustained commercial production.
The combined entity is intended to create a competitive low-carbon fuels platform that leverages XCF's production scale and speed-to-market capabilities, Southern's biomass feedstock expertise, and DevvStream's environmental-asset monetization strengths. The parties are also exploring opportunities to integrate small modular reactor nuclear power with electro-sustainable aviation fuel production and associated environmental attribute structures. Final completion of the transaction remains subject to definitive agreement negotiations and board approvals by all three companies.",1/26/26 15:08,17a,
28/1/2026,https://sg.finance.yahoo.com/news/europe-cement-industry-report-2025-152700682.html,Europe Cement Market Projected to Expand to $26 Billion by 2029,"Research and Markets released a comprehensive report projecting the European cement industry will grow at a compound annual growth rate of 5.4% from 2025 to 2029, reaching approximately $26 billion by the end of the forecast period. The market is being driven by increased public infrastructure spending under the EU Green Deal, investments in climate-resilient building programs, and demand for decarbonization solutions. The report highlights that the region experienced a 6.1% annual growth rate during 2020-2024 and is expected to maintain positive momentum through 2029.

Europe's cement sector is undergoing significant transformation as companies prioritize carbon capture technologies, alternative fuels, and clinker substitution to comply with EU Emissions Trading System regulations and Carbon Border Adjustment Mechanism rules. While larger industry leaders are scaling decarbonization efforts and securing green financing, smaller and mid-tier producers face challenges related to compliance costs, permit processing, and export exposure. Strategic competitive advantage will accrue to firms that successfully integrate supply chain management digitalization with emissions reductions while navigating fragmented national regulatory frameworks.",1/27/26 15:30,19a,
28/1/2026,https://www.env.go.jp/en/press/press_01142.html,Japan and Mongolia Host Forum on Article 6 Paris Agreement Implementation and JCM Project Development,"Japan's Ministry of the Environment and Mongolia's Ministry of Environment and Climate Change will co-host a forum on February 27, 2026, in Ulaanbaatar focused on implementing Article 6 of the Paris Agreement through the Joint Crediting Mechanism (JCM). The hybrid event will bring together government officials, international organizations, and business representatives to discuss bilateral frameworks, project cycles, credit issuance procedures, and methodologies related to JCM development.

The forum will feature presentations on innovative technologies and nature-based solutions supporting Mongolia's decarbonization objectives, along with business pitch presentations and one-on-one matchmaking sessions between Japanese and Mongolian companies offering JCM-related technologies and solutions. The event aims to accelerate concrete project development and deepen stakeholder understanding of Article 6 implementation mechanisms within the international carbon market framework.",1/27/26 13:39,20a,
28/1/2026,https://natlawreview.com/article/carbon-quarterly-volume-13,"Carbon Quarterly Newsletter Covers Policy, Trading, and Litigation Developments","Carbon Quarterly, a newsletter focused on carbon policy, law, and innovation, released its thirteenth volume featuring analysis across multiple domains of carbon regulation. The issue includes legal examination of COP30 outcomes, coverage of Japan's movement toward mandatory emissions trading, updates on U.S. Department of Energy loan program changes, Singapore's greenwashing guidance, state-level carbon market updates, and regulatory developments in carbon trading infrastructure including CFTC actions on voluntary carbon credit derivatives and electricity binary options.

The newsletter addresses carbon policy developments at governmental and business levels, recognizing the expanding impact of greenhouse gas regulations on society. Contributions span legal analysis, policy assessment, and market developments, with particular attention to emerging regulatory frameworks, litigation matters affecting climate policy implementation, and financial instruments related to carbon and energy markets.",1/27/26 0:10,24a,
28/1/2026,https://www.resourcewise.com/blog/biofuels-are-no-longer-the-future-theyre-the-present?hsLang=en,Biofuels Transition From Emerging Technology To Established Market Baseline,"Biofuels have shifted from theoretical discussion to practical implementation across corporate decarbonization strategies. Companies are now integrating biofuels as a standard component of fuel portfolios, treating them as proven solutions alongside carbon-intensity optimization, regulatory compliance planning, and risk management rather than experimental alternatives.",1/26/26 14:07,27a,
28/1/2026,https://www.hydrocarbonengineering.com/clean-fuels/26012026/tangshan-jinlihai-selects-topsoe-technology-for-renewable-fuels-project/amp/,Topsoe and Tangshan Jinlihai Partner on Sustainable Aviation Fuel Production in China,"Topsoe, a technology company, announced a collaboration with Tangshan Jinlihai to develop a sustainable aviation fuel (SAF) and renewable diesel production facility in Tangshan, China. The project is expected to avoid approximately 700,000 tonnes of CO2 equivalent annually when fully operational. The partnership represents Topsoe's sixth SAF production contract in China and demonstrates the company's expanding presence in the region's decarbonization efforts.

The facility will be constructed at the Caofeidian National Petrochemical Base with a planned investment of approximately US$210 million, with construction starting in the second half of 2026 and operations beginning in the second half of 2028. The project addresses rising global demand for SAF, as aviation seeks to meet net-zero targets by 2050, with industry projections indicating SAF production will reach 2.1 million tonnes in 2025 and needs to comprise over 10 percent of aviation fuel consumption by 2030.",1/26/26 10:04,28a,
28/1/2026,https://biofuels-news.com/news/xfuel-announces-new-funding-to-accelerate-commercial-scale-low-carbon-fuel-production/,XFuel Secures Series A Funding to Scale Low-Carbon Fuel Production,"XFuel announced a Series A funding round led by venture capital firms Wagner Carbon, Audacy, Future Planet Capital, Light Ray Ventures, and Overlap Holdings, alongside strategic investments from maritime logistics leaders Nippon Yusen Kabushiki Kaisha (NYK Line) and Stolt-Nielsen's venture arm. The funding will accelerate commercial deployment of XFuel's Chemical Liquid Refining technology, which converts waste hydrocarbon liquids into clean drop-in transport fuels for shipping and other hard-to-decarbonize sectors.

XFuel and its new strategic investors plan to explore long-term fuel supply agreements, pilot programs, and joint ventures at major global ports. The collaboration will leverage MARPOL-regulated waste streams to produce cost-competitive, low-carbon fuels addressing immediate emissions reduction needs in maritime transport and industrial applications.",1/28/26 6:24,29a,
28/1/2026,https://ethanolproducer.com/articles/kemvera-advances-commercialization-of-bio-acetic-acid-and-bio-ethyl-acetate-manufacturing-process,Fuel Ethanol Production Declines While Carbon Removal and Biofuel Markets Show Mixed Signals,"U.S. fuel ethanol production decreased 6% during the week ending January 16, according to Energy Information Administration data released January 22, while weekly ethanol stocks rose 5% and exports surged 83%. Separately, Gevo Inc. reported that its North Dakota facility has generated over 500,000 carbon dioxide removal certificates since launching carbon capture and storage operations in June 2022. Brazilian sugarcane ethanol sales increased in early December, though current harvest season production and processing levels remain below the prior year. Additionally, a planned merger between Union Pacific and Norfolk Southern faced regulatory obstacles when the Surface Transportation Board determined the application incomplete on January 16.",1/26/26 16:04,32a,
28/1/2026,https://esgnews.com/bureau-veritas-buys-spin360-to-strengthen-supply-chain-esg-scope-3-compliance/,Bureau Veritas Acquires SPIN360 to Expand Fashion Supply Chain ESG Services,"Bureau Veritas, a French testing and certification company, has agreed to acquire SPIN360, a Milan-based sustainability advisory firm that specializes in lifecycle analytics and ESG reporting for premium fashion and luxury brands. The acquisition strengthens Bureau Veritas' capabilities in consumer product sustainability as regulatory pressure on Scope 3 emissions disclosures and circularity requirements intensifies across Europe. SPIN360 brings proprietary tools for life cycle assessment, carbon footprinting, material benchmarking, and supply chain monitoring to complement Bureau Veritas' existing certification, laboratory testing, and auditing infrastructure.

The deal reflects growing demand among luxury brands for granular Scope 3 data and verified sustainability pathways that satisfy both investors and regulators. Fashion and luxury supply chains have become a priority segment for ESG due diligence because of their complex material sourcing, exposure to animal products, and rapidly evolving European disclosure rules including the corporate sustainability reporting directive. The acquisition will designate Milan as a global center of excellence for premium fashion and luxury within Bureau Veritas' consumer product portfolio, with SPIN360 bringing a customer base of approximately 30 specialists serving global brands and European industrial suppliers.",1/27/26 15:30,35a,
28/1/2026,https://ts2.tech/en/neste-oyj-stock-jumps-nearly-6-as-goldman-morgan-stanley-turn-bullish-ahead-of-feb-5-earnings/,Neste Shares Surge Following Broker Upgrades On Strong Renewable Fuel Margins,"Neste Oyj shares climbed 5.9% in Helsinki trading after Morgan Stanley and Goldman Sachs upgraded the company, citing stronger renewable fuel prices and improved margins. Morgan Stanley raised its price target to 25 euros from 18.80 euros, projecting around $650 per tonne for renewable product margins in fiscal 2026, while Goldman Sachs upgraded the stock to Buy, citing above-consensus estimates and favorable biofuels regulatory conditions in Europe. The analysts highlighted policy-driven demand and a rebound in renewable diesel margins as key drivers.

The stock movement comes ahead of Neste's financial results on February 5, with investors assessing whether the recent rally reflects new fundamentals or is already priced into the shares. Analysts are particularly focused on the gap between Neste's renewable fuel selling prices and feedstock costs, with expectations that strong European regulatory compliance demand and tight supply will sustain higher renewable product margins through 2026. However, one analyst downgraded the stock to Neutral following its recent appreciation.",1/26/26 12:51,36a,
28/1/2026,https://serrarigroup.com/colima-pioneers-comprehensive-carbon-pricing-framework-as-mexicos-subnational-climate-action-gains-momentum/,Mexican State of Colima Launches Carbon Tax System Generating Millions in Revenue,"Colima has implemented a comprehensive ecological tax on greenhouse gas emissions from fixed sources, projected to generate MX$51.9 million (US$2.94 million) in 2026. The Tax on the Emission of Greenhouse Gases and Compounds to the Atmosphere entered into force on January 1, 2025, representing the state's pioneering approach to carbon pricing that integrates voluntary certification programs, carbon offset mechanisms, and financial incentives for emissions reduction.

Colima becomes the ninth Mexican state to adopt carbon pricing mechanisms, reflecting a dramatic expansion of subnational climate policy across Mexico. Eleven Mexican states now enforce carbon taxes, with average pricing at MX$262 per metric ton of CO₂ equivalent, though rates vary significantly by jurisdiction. This development supports Mexico's national climate commitments to reduce greenhouse gas emissions by 35 percent unconditionally and up to 40 percent conditionally by 2030.",1/27/26 19:41,37a,
28/1/2026,https://biofuels-news.com/news/bp-and-corteva-launch-biofuel-feedstock-joint-venture/,BP and Corteva Launch Etlas Joint Venture for Sustainable Biofuel Feedstocks,"BP and Corteva Agriscience have established Etlas, a joint venture designed to produce sustainable crop-based feedstocks for renewable diesel and sustainable aviation fuel. The venture will cultivate canola, mustard, and sunflower on existing farmland during off-seasons for food crops, aiming to begin supply in 2027 and scale production to approximately one million tonnes annually by the mid-2030s, potentially generating over 800,000 tonnes of low-carbon fuels yearly.

The partnership combines BP's integrated downstream capabilities with Corteva's seed technology expertise to strengthen the biofuels value chain and support decarbonization in transportation sectors. Executive leadership has been assigned from both companies, signaling their commitment to long-term development of sustainable biofeedstocks without requiring expansion of agricultural land.",1/28/26 7:19,38a,
28/1/2026,https://impakter.com/esg-news-clean-energy-is-europes-only-route-to-prosperity/,"European Leaders Advocate Clean Energy, Venture Capital Firm Raises $249 Million","UK Energy Secretary Ed Miliband and EU Energy Commissioner Dan Jørgensen emphasized clean energy's strategic importance for European autonomy and economic stability amid geopolitical market instability. The officials framed renewable energy not solely as an environmental imperative but as essential infrastructure to reduce dependence on imported fossil fuels and strengthen regional security. Separately, venture capital firm 2150 closed its second fund at $249 million to support sustainable city development startups, with its portfolio encompassing companies in carbon reduction, industrial decarbonization, energy, and circular economy sectors. The firm has already invested in seven new companies through Fund II and manages over $1 billion in assets across a global investor base spanning Europe, Asia, and North America. Additionally, biofuels producer EcoCeres reported its Malaysian facility now operates at 95% capacity, producing up to 420,000 metric tons of sustainable aviation fuel annually from used cooking oil, with initial shipments reaching European markets in December 2025.",1/27/26 7:23,39a,
29/1/2026,https://www.clearbluemarkets.com/knowledge-base/new-mexico-launches-the-us-southwests-first-clean-fuel-market,New Mexico Launches Clean Transportation Fuel Program Market In Southwest,"New Mexico's Environmental Improvement Board unanimously adopted final regulations for the Clean Transportation Fuel Program on January 22, establishing April 1, 2025 as the market opening date. The program introduces a market-based credit and deficit system requiring transportation fuel producers and importers to reduce the lifecycle carbon intensity of fuels by 20% by 2030 and 30% by 2040 relative to a 2018 baseline. Early credit generation and reporting begins immediately, with formal fuel pathway certification starting in July 2026 and initial compliance period through December 2026.

New Mexico becomes the fifth jurisdiction in North America to implement a clean fuel standard, joining California, Oregon, Washington, and Canada's federal and British Columbia programs. Transportation accounts for approximately 25% of statewide emissions, making it the second-largest emissions source. The program supports state climate targets of 45% emissions reduction by 2030 and net-zero by 2050 while promoting deployment of lower-carbon fuels including renewable diesel, biofuels, hydrogen, and electricity. Analysis projects renewable diesel demand reaching approximately 129 million gallons by 2030, potentially utilizing capacity from existing in-state refinery infrastructure.",1/27/26 19:30,2b,
29/1/2026,https://www.prnewswire.com/news-releases/jf-lehman--company-establishes-new-environmental-services-platform-302673181.html,JFLCO Acquires Majority Stakes in Refrigerant and Methane Gas Management Companies,"J.F. Lehman & Company announced the acquisition of majority stakes in Reclamation Technologies USA and Tradewater LLC through its investment affiliate JFL Equity Investors VI, establishing a new environmental services platform. The combined company will specialize in the collection, processing, and destruction of refrigerant and methane gases, as well as the plugging of orphaned oil and gas wells, with operations headquartered in Chicago and Indianapolis.

The platform is designed to capitalize on growing market demand for specialized closed-loop environmental services driven by regulatory requirements and end-market needs. Tradewater generates carbon offset credits through its gas mitigation activities across compliance and voluntary carbon markets, while RTI provides refrigerant recovery and reclamation services. The combined entity will be led by Jeff Laborsky as CEO and Katelyn Imrie as President, with the platform positioned for organic growth and strategic acquisitions in the fragmented environmental services sector.",1/28/26 21:19,8b,
29/1/2026,https://manufacturing.economictimes.indiatimes.com/news/energy/lanzatech-wins-sed-contract-for-bio-ethanol-plant-in-uttar-pradesh/127673651,LanzaTech Wins Contract to Build Bio-Ethanol Plant in Uttar Pradesh,"LanzaTech Global has been selected by Spray Engineering Devices Ltd to construct a carbon recycling facility in Uttar Pradesh that will convert sugarcane bagasse into ethanol and other fuels and chemicals. The project, part of SED's Smart Village initiative, will include a 24,000 tonnes per annum ethanol plant capable of processing up to 300 tonnes of bagasse daily and is expected to achieve approximately 19,200 tonnes of CO₂ equivalent annual abatement. The facility will represent the first in India to employ LanzaTech's technology for this specific application and is anticipated to begin operations within two years.

The plant will utilize syngas generated through oxygen-enriched air gasification of sugarcane bagasse, with LanzaTech's proprietary microbes converting carbon-rich gases into ethanol for use in sustainable aviation fuel and renewable diesel production. The project aligns with India's PM JI-VAN Yojana government programme supporting advanced bioethanol production and aims to reduce agricultural residue burning while generating nutrient-rich biochar for soil improvement. This development expands LanzaTech's operational presence in India, complementing its existing commercial-scale plant at Indian Oil Corporation's Panipat refinery.",1/28/26 4:38,15b,
